"id","currency","rate","base_currency","timestamp","created_at"
187,"JPY","176.045010","EUR","2025-10-14 20:39:04.185919","2025-10-29 20:39:29.82716"
188,"EUR","1.000000","EUR","2025-10-14 20:39:04.185919","2025-10-29 20:39:29.82716"
189,"USD","1.164605","EUR","2025-10-15 20:39:04.185919","2025-10-29 20:39:29.82716"
190,"GBP","0.868854","EUR","2025-10-15 20:39:04.185919","2025-10-29 20:39:29.82716"
191,"JPY","175.827971","EUR","2025-10-15 20:39:04.185919","2025-10-29 20:39:29.82716"
192,"EUR","1.000000","EUR","2025-10-15 20:39:04.185919","2025-10-29 20:39:29.82716"
193,"USD","1.169932","EUR","2025-10-16 20:39:04.185919","2025-10-29 20:39:29.82716"
194,"GBP","0.870155","EUR","2025-10-16 20:39:04.185919","2025-10-29 20:39:29.82716"
195,"JPY","175.640830","EUR","2025-10-16 20:39:04.185919","2025-10-29 20:39:29.82716"
196,"EUR","1.000000","EUR","2025-10-16 20:39:04.185919","2025-10-29 20:39:29.82716"
197,"USD","1.166039","EUR","2025-10-17 20:39:04.185919","2025-10-29 20:39:29.82716"
198,"GBP","0.868429","EUR","2025-10-17 20:39:04.185919","2025-10-29 20:39:29.82716"
199,"JPY","175.623040","EUR","2025-10-17 20:39:04.185919","2025-10-29 20:39:29.82716"
200,"EUR","1.000000","EUR","2025-10-17 20:39:04.185919","2025-10-29 20:39:29.82716"
201,"USD","1.166039","EUR","2025-10-18 20:39:04.185919","2025-10-29 20:39:29.82716"
202,"GBP","0.871903","EUR","2025-10-18 20:39:04.185919","2025-10-29 20:39:29.82716"
203,"JPY","175.611379","EUR","2025-10-18 20:39:04.185919","2025-10-29 20:39:29.82716"
204,"EUR","1.000000","EUR","2025-10-18 20:39:04.185919","2025-10-29 20:39:29.82716"
205,"USD","1.165705","EUR","2025-10-19 20:39:04.185919","2025-10-29 20:39:29.82716"
206,"GBP","0.868293","EUR","2025-10-19 20:39:04.185919","2025-10-29 20:39:29.82716"
207,"JPY","175.901436","EUR","2025-10-19 20:39:04.185919","2025-10-29 20:39:29.82716"
208,"EUR","1.000000","EUR","2025-10-19 20:39:04.185919","2025-10-29 20:39:29.82716"
209,"USD","1.164402","EUR","2025-10-20 20:39:04.185919","2025-10-29 20:39:29.82716"
210,"GBP","0.868661","EUR","2025-10-20 20:39:04.185919","2025-10-29 20:39:29.82716"
211,"JPY","175.565635","EUR","2025-10-20 20:39:04.185919","2025-10-29 20:39:29.82716"
212,"EUR","1.000000","EUR","2025-10-20 20:39:04.185919","2025-10-29 20:39:29.82716"
213,"USD","1.159998","EUR","2025-10-21 20:39:04.185919","2025-10-29 20:39:29.82716"
214,"GBP","0.867969","EUR","2025-10-21 20:39:04.185919","2025-10-29 20:39:29.82716"
215,"JPY","176.200312","EUR","2025-10-21 20:39:04.185919","2025-10-29 20:39:29.82716"
216,"EUR","1.000000","EUR","2025-10-21 20:39:04.185919","2025-10-29 20:39:29.82716"
217,"USD","1.160807","EUR","2025-10-22 20:39:04.185919","2025-10-29 20:39:29.82716"
218,"GBP","0.869469","EUR","2025-10-22 20:39:04.185919","2025-10-29 20:39:29.82716"
219,"JPY","176.389207","EUR","2025-10-22 20:39:04.185919","2025-10-29 20:39:29.82716"
220,"EUR","1.000000","EUR","2025-10-22 20:39:04.185919","2025-10-29 20:39:29.82716"
221,"USD","1.161750","EUR","2025-10-23 20:39:04.185919","2025-10-29 20:39:29.82716"
222,"GBP","0.871743","EUR","2025-10-23 20:39:04.185919","2025-10-29 20:39:29.82716"
223,"JPY","177.300554","EUR","2025-10-23 20:39:04.185919","2025-10-29 20:39:29.82716"
224,"EUR","1.000000","EUR","2025-10-23 20:39:04.185919","2025-10-29 20:39:29.82716"
225,"USD","1.162650","EUR","2025-10-24 20:39:04.185919","2025-10-29 20:39:29.82716"
226,"GBP","0.873779","EUR","2025-10-24 20:39:04.185919","2025-10-29 20:39:29.82716"
227,"JPY","177.659936","EUR","2025-10-24 20:39:04.185919","2025-10-29 20:39:29.82716"
228,"EUR","1.000000","EUR","2025-10-24 20:39:04.185919","2025-10-29 20:39:29.82716"
229,"USD","1.162650","EUR","2025-10-25 20:39:04.185919","2025-10-29 20:39:29.82716"
230,"GBP","0.873779","EUR","2025-10-25 20:39:04.185919","2025-10-29 20:39:29.82716"
231,"JPY","177.659936","EUR","2025-10-25 20:39:04.185919","2025-10-29 20:39:29.82716"
232,"EUR","1.000000","EUR","2025-10-25 20:39:04.185919","2025-10-29 20:39:29.82716"
233,"USD","1.163020","EUR","2025-10-26 20:39:04.185919","2025-10-29 20:39:29.82716"
234,"GBP","0.873172","EUR","2025-10-26 20:39:04.185919","2025-10-29 20:39:29.82716"
235,"JPY","178.043164","EUR","2025-10-26 20:39:04.185919","2025-10-29 20:39:29.82716"
236,"EUR","1.000000","EUR","2025-10-26 20:39:04.185919","2025-10-29 20:39:29.82716"
237,"USD","1.165060","EUR","2025-10-27 20:39:04.185919","2025-10-29 20:39:29.82716"
238,"GBP","0.873340","EUR","2025-10-27 20:39:04.185919","2025-10-29 20:39:29.82716"
239,"JPY","177.906988","EUR","2025-10-27 20:39:04.185919","2025-10-29 20:39:29.82716"
240,"EUR","1.000000","EUR","2025-10-27 20:39:04.185919","2025-10-29 20:39:29.82716"
241,"USD","1.165543","EUR","2025-10-28 20:39:04.185919","2025-10-29 20:39:29.82716"
242,"GBP","0.877957","EUR","2025-10-28 20:39:04.185919","2025-10-29 20:39:29.82716"
243,"JPY","177.041912","EUR","2025-10-28 20:39:04.185919","2025-10-29 20:39:29.82716"
244,"EUR","1.000000","EUR","2025-10-28 20:39:04.185919","2025-10-29 20:39:29.82716"
245,"USD","1.164972","EUR","2025-10-29 20:39:04.185919","2025-10-29 20:39:29.82716"
246,"GBP","0.880585","EUR","2025-10-29 20:39:04.185919","2025-10-29 20:39:29.82716"
247,"JPY","177.051310","EUR","2025-10-29 20:39:04.185919","2025-10-29 20:39:29.82716"
248,"EUR","1.000000","EUR","2025-10-29 20:39:04.185919","2025-10-29 20:39:29.82716"
